"Book","Daily P&L","Book Commentary","WTD P&L","MTD P&L","YTD P&L","Month-End Adjustment","Carry","Position","New Trading","New Trading Commentary","Other","Total Risk P&L","Unattributed","Unattributed Commentary","Estimate","Actual - Estimate","Estimate Commentary","Cert. Time","Approved/ Rejected by","Vers.#","Updated","Days Outst.","[X]"
"TORUSSWAP","-97991132.03915405","","-97991132.03915405","0","0","0","0","0","0","","0","0","-97991132.03915405","","89000","-98080132.03915405","","16:33","kpatel1","","16:11","118",""
"STRATEGIC","-1137899.1420830449","","-1137899.1420830449","0","0","0","0","0","0","","0","0","-1137899.1420830449","","0","-1137899.1420830449","","","","","","118",""
"SWAPSHEDGE","788733.136700179","","788733.136700179","0","0","0","0","0","0","","0","0","788733.136700179","","0","788733.136700179","","","","","","118",""
"TORINFDIR","1269122.8687478304","","1269122.8687478304","0","0","0","0","0","0","","0","0","1269122.8687478304","","0","1269122.8687478304","","","","","","118",""
"SWAPS","98055193.70514436","","98055193.70514436","0","0","0","0","0","0","","0","0","98055193.70514436","","-1044000","99099193.70514436","","16:33","kpatel1","","16:11","118",""
"STRUCTURED","-117882543.96998316","","-117882543.96998316","0","0","0","0","0","0","","0","0","-117882543.96998316","","-27000","-117855543.96998316","","","","","","118",""
"STRUCTBF","28806383.541796282","","28806383.541796282","0","0","0","0","0","0","","0","0","28806383.541796282","","-10000","28816383.541796282","","16:33","kpatel1","","16:11","118",""
"NOTESMKTRNF","-4002371.5291699977","","-4002371.5291699977","0","0","0","0","0","0","","0","0","-4002371.5291699977","","0","-4002371.5291699977","","","","","","118",""
"NOTESACCTSTR","280230.0727081988","","280230.0727081988","0","0","0","0","0","0","","0","0","280230.0727081988","","0","280230.0727081988","","","","","","118",""
"TORUSFI","5991078.730026364","","5991078.730026364","0","0","0","0","0","0","","0","0","5991078.730026364","","16000","5975078.730026364","","","","","","118",""
"ADMINCOST","3000.09","","3000.09","0","0","0","0","0","0","","0","0","3000.09","","0","3000.09","","12:47","","","12:47","118",""
"Total","-85820204.53526703","","-85820204.53526703","0","0","0","0","0","0","","0","0","-85820204.53526703","","-976000","-84844204.53526703","","","","","","",""
